IP;United_States_West;United_States_East;United_Kingdom;Australia;France;South_Korea;Japan;Spain;Italy;Brazil;Canada_West;Canada_East;Germany_West;Germany_East;Poland;Russian;Sweden;Turkey
99.181.97.149;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.60;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.173;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
99.181.97.62;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.109;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.40;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
52.223.224.13;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
192.16.65.53;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
52.223.244.107;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.51;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.137;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
52.223.226.82;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.107;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.228.30;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
99.181.97.110;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.20;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
99.181.97.161;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.69;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.228.29;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.38;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.144;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.133;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.155;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.109;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.228.62;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.154;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.86;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.101;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.153;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.166;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.96.156;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
99.181.97.148;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.81;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.139;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.105;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.128;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.78;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.170;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.81;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.121;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.33;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.135;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.209;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.216;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.228.59;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
52.223.244.121;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.94;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.98;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.228.106;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
